name,lat,lon,staff_email_domain,website,street,postcode,city,state
GEOMED-KREISKLINIK GmbH,49.9006262,10.3559732,geomed-klinik.de,www.geomed-klinik.de,Dingolshäuser Str.,97447,Gerolzhofen,Bayern
Stiftung Kreuznacher Diakonie Fliedner Krankenhaus,49.3481651,7.1859385,kreuznacherdiakonie.de,//www.kreuznacherdiakonie.de,Theodor-Fliedner-Straße,66538,Neunkirchen,Saarland
Helios Frankenwaldklinik Kronach,50.2437656,11.3322307,helios-kliniken.de,www.helios-kliniken.de/kronach,Friesener Str.,96317,Kronach,Bayern
Dreifaltigkeits-Hospital gGmbH,51.6366454,8.5098743,dreifaltigkeits-hospital.de,www.dreifaltigkeits-hospital.de,Bachstraße,59590,Geseke,Nordrhein-Westfalen
Kliniken Am Goldenen Steig,48.8053542,13.546133,frg-kliniken.de,www.frg-kliniken.de,Krankenhausstr.,94078,Freyung,Bayern
Alexius/Josef Krankenhaus,51.1912809,6.7019633,psychiatrie-neuss.de,www.psychiatrie-neuss.de,Berghäuschensweg,41464,Neuss,Nordrhein-Westfalen
Klinikum Weser-Egge,51.7273958,9.1807095,khwe.de,www.khwe.de,Elmarstraße,33014,Bad Driburg,Nordrhein-Westfalen
AMEOS Klinikum Lübeck,48.2636904,13.0140152,ameos.eu,www.ameos.eu/klinikum-luebeck-klinik-fuer-abhaengigkeitserkrankungen/,Weidenweg,23562,Lübeck,Schleswig-Holstein
Krankenhaus St. Joseph-Stift Dresden,51.0474063,13.7611938,josephstift-dresden.de,www.josephstift-dresden.de,Wintergartenstraße,01307,Dresden,Sachsen
Gemeinschaftskrankenhaus Bonn gGmbH,50.7275413,7.1027037,gk-bonn.de,www.gk-bonn.de,Bonner Talweg,53113,Bonn,Nordrhein-Westfalen
Gesundheit Nord gGmbH Klinikverbund Bremen Standort Klinkum Bremen-Ost,53.0641569,8.9403138,gesundheitnord.de,www.gesundheitnord.de,Züricher Straße,28325,Bremen,Bremen
Hauptstandort Rudolf-Virchow-Klinikum,50.8100336,12.5519603,klinikum-glauchau.de,www.klinikum-glauchau.de,Virchowstr.,08371,Glauchau,Sachsen
ASKLEPIOS Klinik Lich,48.8629014,13.0674971,asklepios.com,www.asklepios.com/lich/,Goethestraße,35423,Lich,Hessen
Helios Dr. Horst Schmidt Kliniken Wiesbaden,50.0651776,8.1917428,helios-gesundheit.de,www.helios-gesundheit.de/kliniken/wiesbaden-hsk/,Ludwig-Erhard-Straße,65199,Wiesbaden,Hessen
St. Theresien-Krankenhaus Nürnberg Gemeinnützige GmbH,49.4692931,11.11039,theresien-krankenhaus.de,www.theresien-krankenhaus.de,Mommsenstr.,90491,Nürnberg,Bayern
Stenum Fachklinik für Orthopädie,53.0791014,8.5549485,stenum-ortho.de,www.stenum-ortho.de,Heilstättenweg,27777,Ganderkesee,Niedersachsen
St. Josefs-Hospital Rheingau,49.9831747,7.9264059,joho-rheingau.de,www.joho-rheingau.de,Eibinger Straße,65385,Rüdesheim,Hessen
DIAKO Ev. Diakonie-Krankenhaus gGmbH,53.1257006,8.7453503,diako-bremen.de,www.diakobremen.de,Gröpelinger Heerstr.,28239,Bremen,Bremen
Rotes-Kreuz-Krankenhaus Bremen gGmbH,53.0691185,8.8029953,roteskreuzkrankenhaus.de,www.roteskreuzkrankenhaus.de,St.-Pauli-Deich,28199,Bremen,Bremen
Delme Klinikum Delmenhorst,53.0445524,8.594001,delme-klinikum.de,www.delme-klinikum.de,Wildeshauser Straße,27753,Delmenhorst,Niedersachsen
Roland-Klinik gGmbH,53.0563459,8.8241258,roland-klinik.de,www.roland-klinik.de,Niedersachsendamm,28201,Bremen,Bremen
Havelland Kliniken GmbH,52.5997683,12.8749259,havelland-kliniken.de,www.hvl-kliniken.de,Dallgower Straße,14612,Falkensee,Brandenburg
AMEOS Klinikum Haldensleben,53.0759975,8.9425303,ameos.eu,www.ameos.eu/standorte/ameos-ost/haldensleben/ameos-klinikum-haldensleben/,Kiefholzstraße,39340,Haldensleben,Sachsen-Anhalt
Krankenhaus St. Elisabeth und St. Barbara,51.4588251,11.9785785,krankenhaus-halle-saale.de,www.krankenhaus-halle-saale.de,Barbarastraße,06110,Halle (Saale),Sachsen-Anhalt
Helios St. Elisabeth Klinik Hünfeld,51.4899264,6.7610278,helios-kliniken.de,www.helios-gesundheit.de/kliniken/huenfeld/,Schillerstraße,36088,Hünfeld,Hessen
Paracelsus-Klinik Bremen GmbH,53.0795813,8.8769959,paracelsus-kliniken.de,www.paracelsus-kliniken.de/bremen.html,In der Vahr,28329,Bremen,Bremen
St. Elisabeth-Krankenhaus GmbH,50.9230859,6.8967971,hohenlind.de,www.hohenlind.de,Werthmannstr.,50935,Köln,Nordrhein-Westfalen
Standort Marienhospital Kevelaer,51.7726173,6.1355496,kkle.de,www.kkle.de/klinikum/marienhospital,Basilikastr.,47623,Kevelaer,Nordrhein-Westfalen
ASKLEPIOS Neurologische Klinik Falkenstein,50.1912349,8.4831095,asklepios.com,www.asklepios.com/falkenstein/,Asklepiosweg,61462,Königstein,Hessen
Helios Bördeklinik GmbH,52.0658403,11.1905095,helios-gesundheit.de,www.helios-gesundheit.de/kliniken/boerdeklinik/,Kreiskrankenhaus,39387,Oschersleben,Sachsen-Anhalt
AMEOS Klinikum Haldensleben,54.3742228,10.9565512,ameos.eu,www.ameos.eu/standorte/ameos-ost/haldensleben/ameos-klinikum-haldensleben/,Kiefholzstraße,39340,Haldensleben,Sachsen-Anhalt
BDH-Klinik Hessisch Oldendorf,52.1739958,9.2503124,bdh-klinik-hessisch-oldendorf.de,www.bdh-klinik-hessisch-oldendorf.de,Greitstraße,31840,Hessisch Oldendorf,Niedersachsen
Caritas-Krankenhaus St. Lukas GmbH,48.9239399,11.8858437,csl-kelheim.de,www.csl-kelheim.de,Traubenweg,93309,Kelheim,Bayern
Marienhospital Gelsenkirchen GmbH,51.4955001,7.101255,marienhospital.eu,www.marienhospital.eu,Virchowstraße,45886,Gelsenkirchen,Nordrhein-Westfalen
St. Josefskrankenhaus Heidelberg,49.4025692,8.6891404,josefskrankenhaus.de,www.st.josfeskrankenhaus.de,Landhausstraße,69115,Heidelberg,Baden-Württemberg
Cellitinnen-Krankenhaus St. Antonius,50.9103481,6.9668519,antonius-koeln.de,www.antonius-koeln.de,Schillerstr.,50968,Köln,Nordrhein-Westfalen
MEDIAN Klinik Berus,52.3251649,11.2382678,median-kliniken.de,https://www.median-kliniken.de/de/median-zentrum-berus/,Orannastraße,66802,Überherrn-Berus,Saarland
Klinikum Weser-Egge,51.7419517,9.0116909,khwe.de,www.khwe.de,Elmarstraße,33014,Bad Driburg,Nordrhein-Westfalen
ASKLEPIOS Klinik Pasewalk,53.4894556,13.9860745,asklepios.com,www.asklepios.com,Prenzlauer Chaussee,17309,Pasewalk,Mecklenburg-Vorpommern
Neurologische Klinik Sorpesee GmbH & Co. KG,51.3495788,7.9505313,klinik-sorpesee.de,www.klinik-sorpesee.de,Lindenstraße,59846,Sundern (Sauerland),Nordrhein-Westfalen
Helios Klinik Leisnig GmbH,51.1558361,12.9207864,helios-gesundheit.de,www.helios-gesundheit.de,Colditzer Str.,04703,Leisnig,Sachsen
ASKLEPIOS Klinik Altona,53.5549447,9.9016476,asklepios.com,www.asklepios.com/hamburg/altona/,Paul-Ehrlich-Straße,22763,Hamburg,Hamburg
Malteser-Krankenhaus Berlin-Charlottenburg,52.5088183,13.2518888,malteser-krankenhaus-berlin.de,www.malteser-krankenhaus-berlin.de,Pillkaller Allee,14055,Berlin,Berlin
Klinikum Leverkusen,51.0315272,7.0346073,klinikum-lev.de,www.klinikum-lev.de,Am Gesundheitspark,51375,Leverkusen,Nordrhein-Westfalen
Klinikum Main-Spessart,49.9963025,9.5715656,klinikum-msp.de,www.klinikum-msp.de,Grafen-von-Rieneck-Straße,97816,Lohr am Main,Bayern
Psychosomatische Klinik GmbH & Co Windach/Ammersee KG,48.0726552,11.0484962,klinik-windach.de,www.klinik-windach.de,Westendstr.,80686,München,Bayern
Main-Kinzig-Kliniken gGmbH,50.2066396,9.181324,mkkliniken.de,www.mkkliniken.de,Herzbachweg,63571,Gelnhausen,Hessen
Elbe-Elster Klinikum GmbH,51.6356982,13.6981648,elbe-elster-klinikum.de,www.elbe-elster-klinikum.de,Kirchhainer Straße,03238,Finsterwalde,Brandenburg
AGAPLESION Bethanien Krankenhaus Heidelberg,49.3917759,8.6910169,bethanien-heidelberg.de,www.bethanien-heidelberg.de,Rohrbacher Str.,69126,Heidelberg,Baden-Württemberg
Westpfalz-Klinikum,49.6588375,8.0076943,westpfalz-klinikum.de,www.westpfalz-klinikum.de,Hellmut-Hartert-Straße,67655,Kaiserslautern,Rheinland-Pfalz
Westpfalz-Klinikum,49.6307343,7.8144719,westpfalz-klinikum.de,www.westpfalz-klinikum.de,Hellmut-Hartert-Straße,67655,Kaiserslautern,Rheinland-Pfalz
Robert-Koch-Krankenhaus Apolda GmbH,51.0126815,11.5122751,rkk-apolda.de,www.rkk-apolda.de,Jenaer Straße,99510,Apolda,Thüringen
Bezirksklinikum Mainkofen,48.8077434,12.8974753,mainkofen.de,www.mainkofen.de,Mainkofen A,94469,Deggendorf,Bayern
RZ Rheumazentrum RLP GmbH,49.8403356,7.8556199,kh-acura-kliniken.com,www.sana-rz.de,Kaiser-Wilhelm-Straße,55543,Bad Kreuznach,Rheinland-Pfalz
MEDIAN Klinik Berus,50.1596132,6.8441918,median-kliniken.de,https://www.median-kliniken.de/de/median-zentrum-berus/,Orannastraße,66802,Überherrn-Berus,Saarland
Evangelisches Lukas-Krankenhaus,52.2167356,7.0299803,lukas-gronau.de,www.lukas-gronau.de,Zum Lukaskrankenhaus,48599,Gronau (Westfalen),Nordrhein-Westfalen
Evangelisches Krankenhaus Göttingen-Weende gGmbH,51.5545918,9.9436862,ekweende.de,www.ekweende.de,An der Lutter,37075,Göttingen,Niedersachsen
Helios Kliniken Mittelweser GmbH Klinik Stolzenau,52.5153105,9.0686405,helios-gesundheit.de,www.helios-gesundheit.de,Holzhäuser Weg,31592,Stolzenau,Niedersachsen
St. Josefskrankenhaus Freiburg,48.0016989,7.8524318,rkk-klinikum.de,www.rkk-sjk.de,Sautierstraße,79104,Freiburg,Baden-Württemberg
Eichsfeld Klinikum gGmbH,51.3763467,10.1411296,eichsfeld-klinikum.de,www.eichsfeld-klinikum.de,Windische Gasse,37308,Heilbad Heiligenstadt,Thüringen
AGAPLESION Evangelisches Krankenhaus Holzminden gGmbH,51.834158,9.4555899,evk-holzminden.de,www.evk-holzminden.de,Forster Weg,37603,Holzminden,Niedersachsen
Filderklinik,48.6473198,9.2040008,filderklinik.de,www.filderklinik.de,Im Haberschlai,70794,Filderstadt,Baden-Württemberg
Haßberg-Kliniken AöR des Landkreises Haßberge,50.0404247,10.5146057,hassberg-kliniken.de,www.hassberg-kliniken.de,Hofheimer Str.,97437,Haßfurt,Bayern
Klinikum Altmühlfranken Weißenburg,49.034364,10.9852082,klinikum-altmuehlfranken.de,www.klinikum-altmuehlfranken.de,Krankenhausstr.,91781,Weißenburg i. Bay.,Bayern
Krankenhaus St. Elisabeth und St. Barbara,51.4775469,11.9681942,krankenhaus-halle-saale.de,www.krankenhaus-halle-saale.de,Barbarastraße,06110,Halle (Saale),Sachsen-Anhalt
"Thüringen Kliniken ""Georgius Agricola"" GmbH",50.6444594,11.3439016,thueringen-kliniken.de,www.thueringen-kliniken.de,Rainweg,07318,Saalfeld/Saale,Thüringen
ASKLEPIOS Fachklinikum Göttingen,51.5239093,9.9172202,asklepios.com,www.asklepios.com,Rosdorfer Weg,37081,Göttingen,Niedersachsen
Vivantes Komfortklinik GmbH,52.4939563,13.4085942,vivantes.de,www.vivantes.de,Aroser Allee,13437,Berlin,Berlin
Heiligenfeld Klinik Berlin,50.1874907,10.0703698,heiligenfeld.de,https://www.heiligenfeld.de/kliniken/heiligenfeld-klinik-berlin/,Brebacher Weg,12683,Berlin,Berlin
Thoraxzentrum Bezirk Unterfranken Fachkrankenhaus,50.2510645,10.1791546,tzbu.de,www.tzbu.de,Michelsberg,97702,Münnerstadt,Bayern
Klinikum Hochsauerland GmbH,51.3416742,8.2900458,klinikum-hochsauerland.de,www.klinikum-hochsauerland.de,Schederweg,59870,Meschede,Nordrhein-Westfalen
Niels-Stensen-Kliniken St. Vinzenz-Hospital Haselünne,52.6709568,7.4828725,niels-stensen-kliniken.de,www.krankenhaus-haseluenne.de,Hammer Straße,49740,Haselünne,Niedersachsen
KRH-Klinikum Siloah,52.3598758,9.7239145,krh.eu,www.krh.eu,Stadionbrücke,30459,Hannover,Niedersachsen
"Klinik am Steigerwald GmbH & Co. KG, Zentrum für chinesische Medizin und biologische Heilverfahren",49.889173,10.408378,tcmklinik.de,www.tcmklinik.de,Waldesruh,97447,Gerolzhofen,Bayern
DONAUISAR Klinikum Deggendorf-Landau,48.66571,12.7030103,donau-isar-klinikum.de,www.donau-isar-klinikum.de,Bayerwaldring,94405,Landau,Bayern
DONAUISAR Klinikum Dingolfing,48.6218205,12.4901208,donau-isar-klinikum.de,www.donau-isar-klinikum.de,Teisbacher Str.,84130,Dingolfing,Bayern
St. Agatha Fachklinik für Seelische Gesundheit,50.9873383,6.9604557,st-agatha-krankenhaus.de,www.st-agatha-krankenhaus.de,Feldgärtenstr.,50735,Köln,Nordrhein-Westfalen
Klinikum Vest GmbH,51.6620049,7.1241505,klinikum-vest.de,www.klinikum-vest.de,Lipper Weg,45770,"Marl, Westfalen",Nordrhein-Westfalen
Zentralinstitut für Seelische Gesundheit,49.4922133,8.4658312,zi-mannheim.de,www.zi-mannheim.de,J5,68159,Mannheim,Baden-Württemberg
Helios Klinikum Berlin-Buch,51.4431931,10.5666409,helios-kliniken.de,www.helios-kliniken.de/berlin,Schwanebecker Chaussee,13125,Berlin,Berlin
Aller-Weser-Klinik Krankenhaus Verden,52.9139486,9.2322991,aller-weser-klinik.de,www.aller-weser-klinik.de,Eitzer Straße,27283,Verden (Aller),Niedersachsen
"Klinikum Döbeln, Hauptstandort",51.1187787,13.1312528,klinikum-doebeln.de,www.klinikum-doebeln.de,Sörmitzer Str.,04720,Döbeln,Sachsen
ASKLEPIOS Klinik Birkenwerder,52.6919579,13.2984671,asklepios.com,www.asklepios.com,Hubertusstr.,16547,Birkenwerder,Brandenburg
AWO Fachkrankenhaus Jerichow,52.5010924,12.0387905,awo-sachsenanhalt.de,www.awo-sachsenanhalt.de/,Johannes-Lange-Straße,39319,Jerichow,Sachsen-Anhalt
Kreiskrankenhaus Grünstadt,49.5637826,8.1578416,krankenhausgruenstadt.de,www.krankenhausgruenstadt.de,Westring,67269,Grünstadt,Rheinland-Pfalz
Ammerland Klinik GmbH,53.2582985,7.9181889,ammerland-klinik.de,www.ammerland-klinik.de,Lange Straße,26655,Westerstede,Niedersachsen
LUP Klinikum Helene von Bülow gGmbH,53.4342501,11.1818181,wmk-hvb.de,www.wmk-hvb.de,Parkstraße,19230,Hagenow,Mecklenburg-Vorpommern
Hufeland Klinikum GmbH,51.1052518,10.6496021,hufeland.de,www.hufeland.de,Rudolf-Weiß-Straße,99947,Bad Langensalza,Thüringen
Schön Klinik Lorsch,48.1040451,11.5670694,schoen-klinik.de,www.fachklinik-lorsch.de,Wilhelm-Leuschner-Straße,64653,Lorsch,Hessen
Kliniken der Stadt Köln Standort Merheim,50.9374513,7.0523589,kliniken-koeln.de,www.kliniken-koeln.de,Ostmerheimer Str.,51109,Köln,Nordrhein-Westfalen
MEDIAN Klinik St. Georg Bad Dürrheim,52.0963209,8.7615904,median-kliniken.de,www.median-kliniken.de,Gartenstraße,78073,Bad Dürrheim,Baden-Württemberg
Städtische Klinikum Karlsruhe,49.0120252,8.3800276,klinikum-karlsruhe.de,www.klinikum-karlsruhe.de,Moltkestraße,76133,Karlsruhe,Baden-Württemberg
LWL-Universitätsklinikum Bochum,51.4908948,7.2284387,lwl.org,www.uk-bochum.lwl.org,Alexandrinenstr.,44791,Bochum,Nordrhein-Westfalen
Pfalzklinikum für Psychiatrie,49.1502328,8.0143616,pfalzklinikum.de,www.pfalzklinikum.de,Albert-Schweitzer-Straße,67655,Kaiserslautern,Rheinland-Pfalz
Elisabeth Klinikum Schmalkalden GmbH,50.7219866,10.4405294,elisabeth-klinikum.de,www.elisabeth-klinikum.de,Eichelbach,98574,Schmalkalden,Thüringen
Klinik Sankt Elisabeth,49.421185,8.6816458,sankt-elisabeth.de,www.sankt-elisabeth.de,Max-Reger-Straße,69121,Heidelberg,Baden-Württemberg
Havelland Kliniken GmbH,52.6074062,12.3485322,havelland-kliniken.de,www.hvl-kliniken.de,Forststraße,14712,Rathenow,Brandenburg
Helios Mariahilf Klinik Hamburg GmbH,53.4698643,9.9377592,helios-gesundheit.de,www.helios-gesundheit.de/kliniken/helios-mariahilf-klinik-hamburg/,Stader Straße,21075,Hamburg,Hamburg
Universitätsklinikum Ulm,48.410534,10.0009947,uniklinik-ulm.de,www.uni-ulm.de,Eythstraße,89075,Ulm,Baden-Württemberg
Klinikum Oldenburg gGmbH,53.1117025,8.2171163,klinikum-oldenburg.de,www.klinikum-oldenburg.de,Rahel-Straus-Straße,26133,Oldenburg (Oldb.),Niedersachsen
August-Bier-Klinik,54.1643909,10.5477266,august-bier-klinik.de,www.august-bier-klinik.de,Diekseepromenade,23714,Bad Malente-Gremsmühlen,Schleswig-Holstein
Curtius Klinik GmbH & Co. KG Fachklinik für Psychosomatik und Psychotherapeutische Medizin,54.1717903,10.5661284,curtius-klinik.de,www.curtius-klinik.de,Neue Kampstraße,23714,Bad Malente-Gremsmühlen,Schleswig-Holstein
Helios Frankenwaldklinik Kronach,51.7294572,9.9792081,helios-kliniken.de,www.helios-kliniken.de/kronach,Friesener Str.,96317,Kronach,Bayern
Fliedner Krankenhaus Ratingen,51.3362354,6.8157406,fliedner.de,www.fliedner.de,Thunesweg,40885,Ratingen,Nordrhein-Westfalen
Erzgebirgsklinikum gGmbH - Haus Stollberg,50.7177804,12.7881008,erzgebirgsklinikum.de,www.erzgebirgsklinikum.de/haus/stollberg,Jahnsdorfer Str.,09366,Stollberg,Sachsen
AGAPLESION Krankenhaus Neu-Bethlehem gGmbH,51.5407387,9.9430858,neubethlehem.de,www.neubethlehem.de,Humboldtallee,37073,Göttingen,Niedersachsen
AMEOS Klinikum Lübeck,54.2900614,10.8801334,ameos.eu,www.ameos.eu/klinikum-luebeck-klinik-fuer-abhaengigkeitserkrankungen/,Weidenweg,23562,Lübeck,Schleswig-Holstein
Universitätsklinikum Aachen AöR,50.7654183,6.0693066,ukaachen.de,www.ukaachen.de,Morillenhang,52074,Aachen,Nordrhein-Westfalen
MEDIAN Klinik Berus,52.5048172,13.6605698,median-kliniken.de,https://www.median-kliniken.de/de/median-zentrum-berus/,Orannastraße,66802,Überherrn-Berus,Saarland
Burghof-Klinik GmbH,52.1842784,9.0815691,burghof-klinik.de,www.burghof-klinik.de,Virchowstraße,31737,Rinteln,Niedersachsen
St. Marien-Hospital Mülheim an der Ruhr GmbH,51.4260383,6.8867307,contilia.de,www.contilia.de/einrichtungen/st-marien-hospital-muelheim-an-der-ruhr,Kaiserstraße,45468,Mülheim an der Ruhr,Nordrhein-Westfalen
Klinikum Kulmbach mit Außenstelle Stadtsteinach,50.1177637,11.4663904,klinikum-kulmbach.de,www.klinikum-kulmbach.de,Albert-Schweitzer-Str.,95326,Kulmbach,Bayern
ASKLEPIOS Klinikum Harburg,51.7890648,9.3762815,asklepios.com,www.asklepios.com/hamburg/harburg/,Neuhöfer Straße,21107,Hamburg,Hamburg
Klinikum Stuttgart,48.784267,9.1722948,klinikum-stuttgart.de,www.klinikum-stuttgart.de,Kriegsbergstraße,70174,Stuttgart,Baden-Württemberg
Helios Klinik Kiel,54.3045621,10.1168621,helios-gesundheit.de,www.helios-gesundheit.de/standorte-angebote/kliniken/kiel/,Hamburger Chaussee,24113,Kiel,Schleswig-Holstein
Universitätsklinikum Schleswig-Holstein,53.8364382,10.7070617,uksh.de,www.uksh.de,Arnold-Heller-Straße,24105,Kiel,Schleswig-Holstein
Kreiskrankenhaus Prignitz gGmbH,53.0734805,11.8737822,krankenhaus-prignitz.de,www.krankenhaus-prignitz.de,Dobberziner Straße,19348,Perleberg,Brandenburg
LVR-Klinik für Orthopädie Viersen,51.2911213,6.3498661,lvr.de,www.orthopaedie-viersen.lvr.de,Horionstraße,41749,Viersen,Nordrhein-Westfalen
Sankt Josef-Hospital GmbH,51.6431235,6.4520034,sankt-josef-hospital.de,www.sankt-josef-hospital.de,In der Hees,46509,Xanten,Nordrhein-Westfalen
Schön Klinik Neustadt,48.1717085,11.5849581,schoen-klinik.de,www.schoen-klinik.de/neustadt,Am Kiebitzberg,23730,Neustadt in Holstein,Schleswig-Holstein
KKRN Katholisches Klinikum Ruhrgebiet Nord GmbH,51.7454709,7.1941866,kkrn.de,www.kkrn.de,Gartenstraße,45721,Haltern am See,Nordrhein-Westfalen
Krankenhaus Buchholz und Winsen gGmbH Krankenhaus Buchholz,53.3332666,9.8718156,krankenhaus-buchholz.de,www.krankenhaus-buchholz.de,Steinbecker Straße,21244,Buchholz in der Nordheide,Niedersachsen
VAMED Klinik Hohenstücken KH,52.4334942,12.5127175,vamed-gesundheit.de,www.vamed-gesundheit.de,Brahmsstraße,14772,Brandenburg an der Havel,Brandenburg
Schwarzwald-Baar Klinikum,47.9555596,8.4801206,sbk-vs.de,www.sbk-vs.de,Sonnhaldenstraße,78166,Donaueschingen,Baden-Württemberg
Vivantes Komfortklinik GmbH,52.5496172,13.2069596,vivantes.de,www.vivantes.de,Aroser Allee,13437,Berlin,Berlin
Ev. Krankenhaus Düsseldorf,51.2131737,6.7730583,evk-duesseldorf.de,www.evk-duesseldorf.de,Kirchfeldstraße,40217,Düsseldorf,Nordrhein-Westfalen
Johanniter - Klinik für Geriatrie Geesthacht,52.0820098,9.7668802,johanniter.de,www.johanniter.de/johanniter-kliniken/,Johannes-Ritter-Straße,21502,Geesthacht,Schleswig-Holstein
AGAPLESION Bethesda Krankenhaus Wuppertal,51.2677048,7.1301853,bethesda-wuppertal.de,www.bethesda-wuppertal.de,Hainstr.,42109,Wuppertal,Nordrhein-Westfalen
Klinikum Lüdenscheid,51.2076814,7.6623278,maerkische-kliniken.de,www.maerkische-kliniken.de,Paulmannshöher Straße,58515,Lüdenscheid,Nordrhein-Westfalen
Klinik Lilienthal,53.1494055,8.9063868,klinik-lilienthal.de,www.klinik-lilienthal.de,Moorhauser Landstr.,28865,Lilienthal bei Bremen,Niedersachsen
"Ev. Diakonissenkrankenhaus, Hauptstandort",51.342499,12.3197657,diako-leipzig.de,www.diako-leipzig.de,Georg-Schwarz-Str.,04177,Leipzig,Sachsen
Klinikum Obergöltzsch Rodewisch,50.5231127,12.4108387,klinikum-obergoeltzsch.de,www.klinikum-obergoeltzsch.de,Stiftstr.,08228,Rodewisch,Sachsen
Saarland-Heilstätten Gmbh SHG-Kliniken Sonnenberg,49.2010196,7.0110284,shg-kliniken.de,infosb.shg-kliniken.de,Sonnenbergstraße,66119,Saarbrücken,Saarland
Sana Krankenhaus Bad Doberan GmbH,52.4476303,13.7622057,sana.de,www.sana.de,Am Waldrand,18209,Hohenfelde,Mecklenburg-Vorpommern
Josephs-Hospital Warendorf,51.9607739,8.0023675,jhwaf.de,www.jhwaf.de,Am Krankenhaus,48231,Warendorf,Nordrhein-Westfalen
Niels-Stensen-Kliniken St. Vinzenz-Hospital Haselünne,52.2377281,8.0721747,niels-stensen-kliniken.de,www.krankenhaus-haseluenne.de,Hammer Straße,49740,Haselünne,Niedersachsen
Medical Team Clinic GmbH,48.1087824,11.4152009,ukmp.de,www.ukmp.de,Germeringer Str.,82152,Planegg,Bayern
Heiligenfeld Klinik Uffenheim,49.5421387,10.2353859,heiligenfeld.de,www.uffenheim.heiligenfeld.de,Krankenhausstr.,97215,Uffenheim,Bayern
Epilepsiezentrum Kork,48.5667293,7.8657791,diakonie-kork.de,www.epilepsiezentrum.de,Landstraße,77694,Kehl,Baden-Württemberg
Gemeinschaftsklinikum Mittelrhein gGmbH,50.232458,7.5874522,gk.de,www.gk.de,Johannes-Müller-Straße,56068,Koblenz,Rheinland-Pfalz
Kreisklinik Groß-Gerau,49.9130732,8.4750413,kreisklinik-gg.de,www.kreisklinik-gg.de,Wilhelm-Seipp-Straße,64521,Groß-Gerau,Hessen
Städtisches Klinikum Wolfenbüttel gGmbH,52.1798402,10.5340282,klinikum-wolfenbuettel.de,www.klinikum-wolfenbuettel.de,Alter Weg,38302,Wolfenbüttel,Niedersachsen
Klinikum Osnabrück,52.2781976,8.0025079,klinikum-os.de,www.klinikum-os.de,Am Finkenhügel,49076,Osnabrück,Niedersachsen
Evangelische Klinikum Niederrhein gGmbH,51.515344,6.7657358,evkln.de,www.evkln.de,Fahrner Str.,47169,Duisburg,Nordrhein-Westfalen
Orthopädische Klinik Markgröningen,48.9084835,9.1073604,okm.de,www.okm.de,Kurt-Lindemann Weg,71706,Markgröningen,Baden-Württemberg
Johanniter - Klinik für Geriatrie Geesthacht,50.7125609,7.1324916,johanniter.de,www.johanniter.de/johanniter-kliniken/,Johannes-Ritter-Straße,21502,Geesthacht,Schleswig-Holstein
COLLM KLINIK OSCHATZ gmbH,51.2921246,13.1143525,collm-klinik-oschatz.de,www.collm-klinik-oschatz.de,Parkstr.,04758,Oschatz,Sachsen
Evangelisches Krankenhaus Bethanien gGmbH,54.0781465,13.3834484,odebrecht-stiftung.de,www.odebrecht-stiftung.de,Gützkower Landstraße,17489,Greifswald,Mecklenburg-Vorpommern
Medical Park Chiemseeblick GmbH & Co.KG,47.8335779,12.3917098,medicalpark.de,www.medicalpark.de,Rasthausstr.,83233,Bernau am Chiemsee,Bayern
Medical Park Chiemseeblick GmbH & Co.KG,47.8303678,12.3803694,medicalpark.de,www.medicalpark.de,Rasthausstr.,83233,Bernau am Chiemsee,Bayern
Heilig-Geist-Hospital,49.9684253,7.8967741,heilig-geist-hospital.de,www.heilig-geist-hospital.de,Kapuzinerstraße,55411,Bingen am Rhein,Rheinland-Pfalz
Karl-Hansen-Klinik GmbH,51.7872763,8.7996146,medizinisches-zentrum.de,www.medizinisches-zentrum.de,Antoniusstraße,33175,Bad Lippspringe,Nordrhein-Westfalen
Karl-Hansen-Klinik GmbH,51.7875157,8.8176662,medizinisches-zentrum.de,www.medizinisches-zentrum.de,Antoniusstraße,33175,Bad Lippspringe,Nordrhein-Westfalen
Karl-Hansen-Klinik GmbH,51.7822674,8.8263057,medizinisches-zentrum.de,www.medizinisches-zentrum.de,Antoniusstraße,33175,Bad Lippspringe,Nordrhein-Westfalen
Helios St. Elisabeth Klinik Hünfeld,48.9518361,11.3949358,helios-kliniken.de,www.helios-gesundheit.de/kliniken/huenfeld/,Schillerstraße,36088,Hünfeld,Hessen
Kreiskrankenhaus Greiz-Ronneburg GmbH Fachklinik für Geriatrie,50.8670634,12.1882684,krankenhaus-ronneburg.de,www.krankenhaus-ronneburg.de,Rudolf-Breitscheid-Platz,07580,Ronneburg,Thüringen
Zentralinstitut für Seelische Gesundheit,49.4928932,8.4680637,zi-mannheim.de,www.zi-mannheim.de,J5,68159,Mannheim,Baden-Württemberg
Oberhavel Kliniken GmbH Krankenhaus,52.6557709,13.1909249,oberhavel-kliniken.de,www.oberhavel-kliniken.de,Marwitzer Straße,16761,Hennigsdorf,Brandenburg
AMEOS Klinikum Lübeck,54.2386983,10.2765019,ameos.eu,www.ameos.eu/klinikum-luebeck-klinik-fuer-abhaengigkeitserkrankungen/,Weidenweg,23562,Lübeck,Schleswig-Holstein
Rems-Murr-Klinikum Winnenden,48.7974547,9.5293051,rems-murr-kliniken.de,www.rems-murr-kliniken.de,Am Jakobsweg,71364,Winnenden,Baden-Württemberg
